Date,VT confirmed,WA confirmed,VT deaths,WA deaths
2020-04-30,865,14326,48,813
2020-05-01,878,14634,49,822
2020-05-02,885,15001,50,829
2020-05-03,897,15181,52,833
2020-05-04,902,15459,52,840
2020-05-05,905,15593,52,861
2020-05-06,908,15904,52,869
2020-05-07,915,16230,53,890
2020-05-08,917,16387,53,904
2020-05-09,920,16672,53,920
2020-05-10,926,16890,53,930
2020-05-11,926,17120,53,944
2020-05-12,927,17326,53,961
2020-05-13,931,17509,53,974
2020-05-14,931,17771,53,982
2020-05-15,933,17950,53,991
2020-05-16,933,18287,53,999
2020-05-17,940,18431,54,1000
2020-05-18,940,18608,54,1001
2020-05-19,943,18808,54,1030
2020-05-20,944,18969,54,1036
2020-05-21,950,19115,54,1044
2020-05-22,952,19264,54,1050
2020-05-23,956,19584,54,1050
2020-05-24,956,19827,54,1061
2020-05-25,962,20064,54,1070
2020-05-26,967,20180,54,1078
2020-05-27,971,20405,54,1095
2020-05-28,973,20760,55,1106
2020-05-29,975,21069,55,1111
2020-05-30,977,21347,55,1118
2020-05-31,981,21694,55,1118
2020-06-01,983,21976,55,1124
2020-06-02,988,22155,55,1129
2020-06-03,990,22481,55,1135
2020-06-04,1025,22727,55,1138
2020-06-05,1027,22991,55,1149
2020-06-06,1046,23441,55,1153
2020-06-07,1063,23728,55,1159
2020-06-08,1075,24039,55,1161
2020-06-09,1083,24353,55,1176
2020-06-10,1094,24628,55,1189
2020-06-11,1110,24779,55,1194
2020-06-12,1119,25171,55,1203
2020-06-13,1125,25538,55,1212
2020-06-14,1127,25832,55,1216
2020-06-15,1128,26158,55,1219
2020-06-16,1130,26530,55,1223
2020-06-17,1130,26784,55,1224
2020-06-18,1135,27182,56,1243
2020-06-19,1144,27599,56,1253
2020-06-20,1147,28220,56,1263
2020-06-21,1159,28673,56,1268
2020-06-22,1163,28867,56,1274
2020-06-23,1164,29383,56,1283
2020-06-24,1184,29865,56,1292
2020-06-25,1191,30366,56,1299
2020-06-26,1193,30855,56,1304
2020-06-27,1200,31404,56,1310
2020-06-28,1202,31752,56,1310
2020-06-29,1208,32253,56,1320
2020-06-30,1208,32824,56,1332
2020-07-01,1210,33435,56,1339
2020-07-02,1227,34151,56,1342
2020-07-03,1236,34778,56,1352
2020-07-04,1238,35247,56,1354
2020-07-05,1249,35898,56,1359
2020-07-06,1251,36985,56,1370
2020-07-07,1254,37420,56,1384
2020-07-08,1256,37941,56,1394
2020-07-09,1272,38581,56,1409
2020-07-10,1277,39218,56,1424
2020-07-11,1283,39218,56,1424
2020-07-12,1296,40656,56,1438
2020-07-13,1301,41757,56,1399
2020-07-14,1305,42304,56,1404
2020-07-15,1318,43046,56,1421
2020-07-16,1325,44313,56,1427
2020-07-17,1334,45067,56,1434
2020-07-18,1338,46026,56,1444
2020-07-19,1350,46946,56,1447
2020-07-20,1360,47743,56,1453
2020-07-21,1366,48575,56,1465
2020-07-22,1366,49247,56,1468
2020-07-23,1377,50009,56,1482
2020-07-24,1385,50824,56,1495
2020-07-25,1396,51849,56,1494
2020-07-26,1400,52635,56,1501
2020-07-27,1405,53321,56,1518
2020-07-28,1406,54205,56,1548
2020-07-29,1406,54985,56,1555
2020-07-30,1413,55803,56,1564
2020-07-31,1414,55803,57,1564
2020-08-01,1421,57541,57,1592
2020-08-02,1426,58173,57,1595
2020-08-03,1427,58715,57,1603
2020-08-04,1431,59379,57,1619
2020-08-05,1436,60084,57,1624
2020-08-06,1445,60917,58,1652
2020-08-07,1448,61613,58,1673
2020-08-08,1454,61587,58,1672
2020-08-09,1459,63072,58,1688
2020-08-10,1462,63647,58,1697
2020-08-11,1472,64151,58,1716
2020-08-12,1478,64702,58,1723
2020-08-13,1484,65339,58,1736
2020-08-14,1501,66139,58,1755
2020-08-15,1509,66885,58,1766
2020-08-16,1515,67461,58,1781
2020-08-17,1527,67721,58,1785
2020-08-18,1530,68264,58,1809
2020-08-19,1533,68691,58,1823
2020-08-20,1537,69389,58,1837
2020-08-21,1541,69779,58,1850
2020-08-22,1553,70595,58,1857
2020-08-23,1557,71012,58,1863
2020-08-24,1566,71371,58,1867
2020-08-25,1572,71705,58,1876
2020-08-26,1577,72161,58,1880
2020-08-27,1586,72703,58,1890
2020-08-28,1589,73301,58,1905
2020-08-29,1605,73879,58,1905
2020-08-30,1616,74320,58,1905
2020-08-31,1624,74635,58,1915
2020-09-01,1635,74939,58,1931
2020-09-02,1637,75377,58,1935
2020-09-03,1637,75856,58,1945
2020-09-04,1642,76335,58,1953
2020-09-05,1647,76836,58,1953
2020-09-06,1648,77235,58,1953
2020-09-07,1651,77545,58,1953
2020-09-08,1654,77545,58,1953
2020-09-09,1656,78009,58,1978
2020-09-10,1661,78467,58,1985
2020-09-11,1668,79011,58,1991
2020-09-12,1677,79476,58,1991
2020-09-13,1684,79826,58,1991
2020-09-14,1696,80138,58,2006
2020-09-15,1702,80465,58,2015
2020-09-16,1702,80812,58,2020
2020-09-17,1705,81185,58,2031
2020-09-18,1706,81602,58,2036
2020-09-19,1710,82199,58,2036
2020-09-20,1715,82548,58,2036
2020-09-21,1719,82548,58,2035
2020-09-22,1721,83193,58,2070
2020-09-23,1722,83702,58,2081
2020-09-24,1724,84238,58,2084
2020-09-25,1731,85226,58,2098
2020-09-26,1739,85830,58,2098
2020-09-27,1742,86269,58,2099
2020-09-28,1745,86637,58,2100
2020-09-29,1749,87042,58,2124
2020-09-30,1752,87523,58,2125
2020-10-01,1755,88116,58,2129
2020-10-02,1768,88810,58,2143
2020-10-03,1778,89419,58,2143
2020-10-04,1785,89874,58,2142
2020-10-05,1817,90276,58,2158
2020-10-06,1821,90663,58,2164
2020-10-07,1827,91208,58,2176
2020-10-08,1838,91918,58,2182
2020-10-09,1846,92491,58,2190
2020-10-10,1857,93025,58,2190
2020-10-11,1868,93025,58,2190
2020-10-12,1876,93025,58,2190
2020-10-13,1886,94775,58,2203
2020-10-14,1889,95509,58,2219
2020-10-15,1903,96185,58,2229
2020-10-16,1915,96894,58,2235
2020-10-17,1926,97671,58,2239
2020-10-18,1937,98201,58,2239
2020-10-19,1946,98661,58,2258
2020-10-20,1956,99150,58,2282
2020-10-21,1971,99874,58,2286
2020-10-22,1987,100525,58,2289
2020-10-23,2016,101345,58,2296
2020-10-24,2043,99874,58,2286
2020-10-25,2073,102913,58,2296
2020-10-26,2083,103500,58,2320
2020-10-27,2113,104027,58,2336
2020-10-28,2120,104742,58,2348
2020-10-29,2141,105557,58,2358
2020-10-30,2155,106573,58,2365
2020-10-31,2179,107499,58,2365
2020-11-01,2196,108312,58,2365
2020-11-02,2219,109352,58,2377
2020-11-03,2236,110011,58,2399
2020-11-04,2267,111480,58,2413
2020-11-05,2303,112550,58,2427
2020-11-06,2326,114241,58,2437
2020-11-07,2347,116011,59,2437
2020-11-08,2392,117331,59,2437
2020-11-09,2415,118570,59,2458
2020-11-10,2462,120011,59,2479
2020-11-11,2535,120011,59,2479
2020-11-12,2651,123356,59,2510
2020-11-13,2742,125498,59,2514
2020-11-14,2842,127730,59,2514
2020-11-15,2889,130039,59,2514
2020-11-16,3008,131532,59,2543
2020-11-17,3104,134118,59,2566
2020-11-18,3161,135424,60,2587
2020-11-19,3310,137410,61,2599
2020-11-20,3459,139542,62,2614
2020-11-21,3545,141260,62,2614
2020-11-22,3629,141260,63,2614
2020-11-23,3713,147537,63,2647
2020-11-24,3761,151018,64,2680
2020-11-25,3827,153905,64,2695
2020-11-26,3827,153905,64,2695
2020-11-27,4005,158167,67,2695
2020-11-28,4033,160634,67,2695
2020-11-29,4100,162700,67,2695
2020-11-30,4172,164975,69,2760
2020-12-01,4239,167214,72,2784
2020-12-02,4461,170339,74,2810
2020-12-03,4642,172437,75,2823
2020-12-04,4763,174231,77,2832
2020-12-05,4894,175793,79,2832
2020-12-06,5015,177447,79,2832
2020-12-07,5080,184403,81,2832
2020-12-08,5180,187327,85,2837
2020-12-09,5285,189862,86,2844
2020-12-10,5413,192413,89,2843
2020-12-11,5541,195554,93,2879
2020-12-12,5626,199734,95,2879
2020-12-13,5753,202061,95,2879
2020-12-14,5857,203795,96,2915
2020-12-15,5923,205069,100,2953
2020-12-16,6009,205069,105,2879
2020-12-17,6149,205113,105,2879
2020-12-18,6243,205113,107,2879
2020-12-19,6343,222600,108,3104
2020-12-20,6443,222600,111,3103
2020-12-21,6533,226632,111,3105
2020-12-22,6608,227887,112,3131
2020-12-23,6680,230189,117,3131
2020-12-24,6780,233094,120,3184
2020-12-25,6780,230189,120,3131
2020-12-26,6965,230189,121,3131
2020-12-27,7029,230189,127,3131
2020-12-28,7120,222600,129,3104
2020-12-29,7202,222600,130,3104
2020-12-30,7276,238672,134,3096
2020-12-31,7412,246752,136,3096
2021-01-01,7412,246752,136,3096
2021-01-02,7689,246752,139,3187
2021-01-03,7793,255248,140,3443
2021-01-04,7873,256433,144,3482
2021-01-05,8038,258763,149,3541
2021-01-06,8158,263997,152,3634
2021-01-07,8403,263997,155,3634
2021-01-08,8619,263997,156,3634
2021-01-09,8790,263997,156,3634
2021-01-10,8967,263997,156,3634
2021-01-11,9078,271595,156,3698
2021-01-12,9247,271595,158,3698
2021-01-13,9368,271595,158,3698
2021-01-14,9572,283777,162,3873
2021-01-15,9734,283777,163,3873
2021-01-16,9913,283777,163,3843
2021-01-17,10057,283777,163,3842
2021-01-18,10220,289930,163,3862
2021-01-19,10321,291988,163,3863
2021-01-20,10471,291968,165,3863
2021-01-21,10580,296087,168,4065
2021-01-22,10759,298249,169,4112
2021-01-23,10908,300197,170,4112
2021-01-24,11032,300197,170,4112
2021-01-25,11165,302140,171,4146
2021-01-26,11285,303481,171,4165
2021-01-27,11379,305288,172,4210
2021-01-28,11523,307730,172,4241
2021-01-29,11657,309669,172,4282
2021-01-30,11831,311597,173,4285
2021-01-31,11965,311597,174,4285
2021-02-01,12083,313335,175,4318
2021-02-02,12196,314692,176,4316
2021-02-03,12329,316294,179,4388
2021-02-04,12503,317878,181,4416
2021-02-05,12612,319371,181,4449
2021-02-06,12766,320146,182,4449
2021-02-07,12900,320146,183,4449
2021-02-08,13046,323214,183,4453
2021-02-09,13106,324033,186,4558
2021-02-10,13142,324816,187,4603
2021-02-11,13273,326161,188,4633
2021-02-12,13415,327167,189,4675
2021-02-13,13562,328047,189,4675
2021-02-14,13677,328047,189,4675
2021-02-15,13862,328047,190,4675
2021-02-16,13917,329746,191,4709
2021-02-17,13996,330807,191,4759
2021-02-18,14149,332007,193,4803
2021-02-19,14251,332905,193,4823
2021-02-20,14359,333795,196,4823
2021-02-21,14493,333795,197,4823
2021-02-22,14608,334964,198,4857
2021-02-23,14691,335695,200,4882
2021-02-24,14768,336566,202,4913
2021-02-25,14840,337655,204,4942
2021-02-26,14963,338824,205,4957
2021-02-27,15099,339775,205,4957
2021-02-28,15199,339775,205,4957
2021-03-01,15285,340711,206,4970
2021-03-02,15372,341442,206,4992
2021-03-03,15487,342237,207,5015
2021-03-04,15686,343091,207,5034
2021-03-05,15819,343869,207,5046
2021-03-06,15968,344533,208,5046
2021-03-07,16084,344533,208,5046
2021-03-08,16199,345736,208,5069
2021-03-09,16286,346406,211,5083
2021-03-10,16371,347132,211,5104
2021-03-11,16500,347132,211,5104
2021-03-12,16623,348519,212,5131
2021-03-13,16698,349426,214,5131
2021-03-14,16890,349426,214,5131
2021-03-15,16992,350508,214,5142
2021-03-16,17047,351109,215,5154
2021-03-17,17106,352012,217,5160
2021-03-18,17249,352907,217,5173
2021-03-19,17393,353792,217,5178
2021-03-20,17555,354782,219,5178
2021-03-21,17740,354782,219,5178
2021-03-22,17839,355987,219,5186
2021-03-23,17933,356536,220,5188
2021-03-24,18028,357499,222,5201
2021-03-25,18215,358606,223,5214
2021-03-26,18498,359668,224,5221
2021-03-27,18624,361115,224,5221
2021-03-28,18820,361115,225,5221
2021-03-29,19003,362400,225,5227
2021-03-30,19109,363243,225,5238
2021-03-31,19275,364489,227,5250
2021-04-01,19523,365765,227,5264
2021-04-02,19755,367116,228,5279
2021-04-03,19905,368403,229,5279
