Date,CA confirmed,CO confirmed,CA deaths,CO deaths
2020-04-02,11397,3724,246,97
2020-04-03,12755,4173,284,111
2020-04-04,14055,4565,323,126
2020-04-05,15356,4950,352,139
2020-04-06,16545,5172,389,150
2020-04-07,17706,5429,448,179
2020-04-08,19191,5655,505,193
2020-04-09,20336,6098,546,227
2020-04-10,21566,6320,596,250
2020-04-11,22562,6635,632,274
2020-04-12,23433,6894,677,290
2020-04-13,24437,7127,726,290
2020-04-14,25859,7288,779,329
2020-04-15,27097,7493,879,357
2020-04-16,28126,8675,971,374
2020-04-17,29420,9046,1011,391
2020-04-18,30829,9426,1147,411
2020-04-19,31591,9723,1177,422
2020-04-20,33869,10100,1224,449
2020-04-21,35814,10440,1317,486
2020-04-22,37688,10871,1430,508
2020-04-23,39556,11182,1527,550
2020-04-24,41317,12171,1611,660
2020-04-25,42565,12884,1690,670
2020-04-26,43673,13355,1713,678
2020-04-27,45172,13793,1776,703
2020-04-28,46414,14304,1865,735
2020-04-29,48795,14743,1941,765
2020-04-30,50322,15261,2031,776
2020-05-01,52253,15766,2128,820
2020-05-02,53696,16224,2185,832
2020-05-03,54947,16624,2208,842
2020-05-04,56191,16902,2282,851
2020-05-05,58752,17364,2376,901
2020-05-06,60701,17830,2459,921
2020-05-07,62373,18371,2540,944
2020-05-08,64567,18827,2627,959
2020-05-09,66799,19371,2689,967
2020-05-10,67995,19697,2716,971
2020-05-11,69417,19875,2777,987
2020-05-12,71038,20152,2877,1009
2020-05-13,73093,20467,2969,1062
2020-05-14,74920,20830,3049,1091
2020-05-15,76959,21224,3157,1150
2020-05-16,78795,21624,3208,1192
2020-05-17,80175,21927,3240,1214
2020-05-18,81912,22196,3284,1224
2020-05-19,83870,22475,3406,1257
2020-05-20,86092,22796,3495,1298
2020-05-21,88324,23178,3597,1308
2020-05-22,90778,23485,3667,1321
2020-05-23,92664,23954,3735,1325
2020-05-24,94449,24157,3751,1329
2020-05-25,96673,24248,3766,1332
2020-05-26,99851,24542,3823,1351
2020-05-27,101877,24766,3912,1392
2020-05-28,104014,25121,3993,1421
2020-05-29,106651,25612,4074,1435
2020-05-30,110136,26098,4141,1442
2020-05-31,112703,26378,4171,1444
2020-06-01,115207,26577,4171,1456
2020-06-02,117521,26785,4315,1472
2020-06-03,119846,27058,4384,1492
2020-06-04,122995,27359,4452,1509
2020-06-05,126313,27615,4535,1520
2020-06-06,128965,27846,4604,1524
2020-06-07,131348,27999,4632,1524
2020-06-08,133884,28178,4657,1540
2020-06-09,136863,28342,4749,1551
2020-06-10,139736,28495,4854,1571
2020-06-11,143238,28643,4928,1582
2020-06-12,146999,28819,4984,1594
2020-06-13,150314,29015,5055,1597
2020-06-14,152969,29127,5082,1598
2020-06-15,155687,29296,5115,1603
2020-06-16,159045,29429,5197,1616
2020-06-17,163325,29670,5278,1630
2020-06-18,167090,29899,5352,1636
2020-06-19,170677,30185,5418,1642
2020-06-20,174423,30347,5486,1646
2020-06-21,177691,30535,5507,1646
2020-06-22,184357,30703,5565,1650
2020-06-23,190599,30891,5622,1662
2020-06-24,195441,31153,5723,1664
2020-06-25,200441,31478,5804,1665
2020-06-26,205969,31795,5865,1673
2020-06-27,209841,32022,5898,1674
2020-06-28,213923,32304,5930,1674
2020-06-29,222037,32511,5976,1682
2020-06-30,230360,32715,6081,1690
2020-07-01,237008,33029,6160,1697
2020-07-02,246222,33352,6261,1700
2020-07-03,250573,33612,6312,1701
2020-07-04,252205,33866,6330,1701
2020-07-05,255963,34065,6336,1701
2020-07-06,273088,34257,6448,1701
2020-07-07,283516,34664,6563,1696
2020-07-08,291356,35116,6710,1704
2020-07-09,300324,35525,6849,1706
2020-07-10,311254,36191,6952,1724
2020-07-11,318356,36591,7026,1725
2020-07-12,324444,36913,7049,1725
2020-07-13,333630,37242,7096,1727
2020-07-14,344967,37686,7237,1738
2020-07-15,353254,38155,7366,1744
2020-07-16,363306,38726,7489,1745
2020-07-17,370115,39344,7543,1751
2020-07-18,379114,39788,7702,1752
2020-07-19,384978,40142,7713,1752
2020-07-20,396577,40566,7772,1758
2020-07-21,407367,41059,7892,1763
2020-07-22,419555,41698,8048,1771
2020-07-23,429235,42314,8202,1786
2020-07-24,438429,42980,8339,1790
2020-07-25,446395,43789,8428,1794
2020-07-26,450862,44336,8450,1794
2020-07-27,461442,44565,8545,1799
2020-07-28,471437,45314,8714,1807
2020-07-29,483512,45796,8908,1822
2020-07-30,492310,46204,9008,1822
2020-07-31,500421,46809,9224,1838
2020-08-01,507242,47267,9361,1844
2020-08-02,511556,47716,9393,1844
2020-08-03,520357,47968,9507,1844
2020-08-04,526167,48394,9701,1849
2020-08-05,531891,48988,9868,1851
2020-08-06,539980,49436,10001,1852
2020-08-07,548516,49893,10186,1856
2020-08-08,554022,50324,10285,1857
2020-08-09,560266,50660,10373,1858
2020-08-10,571140,51039,10465,1863
2020-08-11,585181,51441,10650,1875
2020-08-12,594265,51756,10811,1875
2020-08-13,602469,52219,10998,1882
2020-08-14,612939,52538,11148,1888
2020-08-15,619577,52838,11222,1896
2020-08-16,624102,53176,11238,1896
2020-08-17,634066,53370,11344,1896
2020-08-18,640237,53631,11524,1899
2020-08-19,647039,53901,11688,1900
2020-08-20,653129,54230,11820,1903
2020-08-21,660448,54586,11975,1910
2020-08-22,664344,54883,12116,1918
2020-08-23,668073,55143,12152,1918
2020-08-24,675898,55341,12257,1919
2020-08-25,681947,55800,12407,1926
2020-08-26,687277,55993,12550,1927
2020-08-27,692568,56343,12689,1931
2020-08-28,697097,56773,12801,1937
2020-08-29,701525,57041,12905,1944
2020-08-30,704214,57223,12938,1944
2020-08-31,712042,57424,13019,1945
2020-09-01,716284,57775,13165,1946
2020-09-02,721599,58019,13323,1952
2020-09-03,725669,58287,13488,1955
2020-09-04,731315,58655,13642,1966
2020-09-05,735571,58655,13707,1966
2020-09-06,737650,58989,13728,1971
2020-09-07,740224,59487,13761,1973
2020-09-08,743148,59674,13812,1973
2020-09-09,747809,59920,13991,1977
2020-09-10,750062,60185,14050,1979
2020-09-11,755525,60492,14261,1985
2020-09-12,758504,60907,14333,1988
2020-09-13,760490,61325,14412,1988
2020-09-14,765475,61699,14467,1990
2020-09-15,768381,62099,14615,1996
2020-09-16,771316,62686,14709,2002
2020-09-17,775442,63145,14812,2006
2020-09-18,779863,63750,14912,2009
2020-09-19,783849,64356,14987,2013
2020-09-20,785501,64857,15018,2014
2020-09-21,790434,65399,15069,2018
2020-09-22,793250,66053,15203,2025
2020-09-23,796580,66669,15313,2030
2020-09-24,799785,67217,15398,2033
2020-09-25,803875,67926,15534,2037
2020-09-26,803875,68510,15534,2040
2020-09-27,809449,69079,15603,2041
2020-09-28,813030,69490,15662,2044
2020-09-29,816128,70025,15813,2046
2020-09-30,818915,70536,15907,2051
2020-10-01,822449,71217,16000,2052
2020-10-02,826624,71898,16097,2057
2020-10-03,829436,71898,16142,2057
2020-10-04,831629,73076,16166,2068
2020-10-05,835636,73537,16200,2069
2020-10-06,838334,74191,16279,2081
2020-10-07,841978,74922,16376,2085
2020-10-08,845598,75785,16450,2095
2020-10-09,849467,76619,16524,2103
2020-10-10,852160,77642,16589,2112
2020-10-11,854378,78461,16592,2113
2020-10-12,857639,79037,16617,2116
2020-10-13,862113,80085,16678,2153
2020-10-14,865344,80777,16782,2160
2020-10-15,868379,81918,16852,2162
2020-10-16,871498,83230,16927,2172
2020-10-17,873404,84369,16964,2176
2020-10-18,874795,85302,16991,2176
2020-10-19,879572,86374,17013,2180
2020-10-20,883700,87582,17049,2182
2020-10-21,886954,88849,17214,2194
2020-10-22,893770,90222,17287,2198
2020-10-23,899280,91572,17337,2211
2020-10-24,903653,93400,17345,2218
2020-10-25,905744,95089,17356,2223
2020-10-26,910880,97293,17398,2225
2020-10-27,915400,98733,17471,2235
2020-10-28,919593,100204,17535,2248
2020-10-29,923502,102014,17566,2266
2020-10-30,928644,104426,17626,2276
2020-10-31,931793,104426,17659,2276
2020-11-01,934770,109908,17663,2286
2020-11-02,939927,112146,17687,2290
2020-11-03,945788,114709,17748,2309
2020-11-04,951000,117635,17814,2331
2020-11-05,956986,121006,17861,2351
2020-11-06,963768,124466,17936,2375
2020-11-07,969090,127967,17964,2387
2020-11-08,973743,130984,17974,2393
2020-11-09,981493,134536,18003,2408
2020-11-10,990096,138426,18069,2426
2020-11-11,995487,142399,18106,2443
2020-11-12,1005994,147597,18140,2467
2020-11-13,1015809,154037,18219,2503
2020-11-14,1023575,159233,18252,2524
2020-11-15,1030112,163416,18263,2545
2020-11-16,1043348,167711,18303,2577
2020-11-17,1053945,172043,18356,2608
2020-11-18,1065363,176694,18456,2651
2020-11-19,1079776,182800,18526,2729
2020-11-20,1086368,188566,18562,2745
2020-11-21,1103253,194676,18597,2787
2020-11-22,1108681,198599,18719,2806
2020-11-23,1130602,202287,18766,2810
2020-11-24,1147417,206438,18876,2860
2020-11-25,1160872,210629,18980,2906
2020-11-26,1168490,216681,19034,2956
2020-11-27,1181254,220951,19096,2977
2020-11-28,1196883,225281,19133,2983
2020-11-29,1207503,228770,19152,3003
2020-11-30,1228026,232904,19215,3037
2020-12-01,1245662,237309,19326,3109
2020-12-02,1265426,241172,19449,3193
2020-12-03,1286191,247209,19597,3320
2020-12-04,1307945,252222,19794,3338
2020-12-05,1328944,257343,19879,3356
2020-12-06,1349939,260565,19933,3356
2020-12-07,1383530,264601,20050,3358
2020-12-08,1417298,268571,20214,3372
2020-12-09,1450632,272345,20464,3639
2020-12-10,1481179,276992,20622,3759
2020-12-11,1520319,281669,20850,3846
2020-12-12,1546815,285632,20971,3871
2020-12-13,1568882,288192,21028,3956
2020-12-14,1612267,291102,21183,3968
2020-12-15,1644793,293374,21466,4080
2020-12-16,1693715,296716,21855,4135
2020-12-17,1748002,300409,22159,4203
2020-12-18,1802236,304072,22431,4259
2020-12-19,1836309,306598,22583,4339
2020-12-20,1863310,308890,22668,4331
2020-12-21,1918520,311036,22676,4339
2020-12-22,1952929,313550,22923,4369
2020-12-23,1996743,316499,23284,4462
2020-12-24,2032896,319527,23635,4550
2020-12-25,2042311,322186,23947,4586
2020-12-26,2072685,323616,23983,4592
2020-12-27,2122823,325018,24220,4610
2020-12-28,2155995,326666,24284,4631
2020-12-29,2187242,328408,24526,4687
2020-12-30,2218163,330859,24958,4750
2020-12-31,2245391,334082,25386,4814
2021-01-01,2292589,337161,25970,4873
2021-01-02,2345930,339171,26357,4912
2021-01-03,2391282,341248,26538,4934
2021-01-04,2420915,343433,26635,4942
2021-01-05,2452355,346891,27003,4989
2021-01-06,2482247,349450,27462,5048
2021-01-07,2518632,352922,28045,5100
2021-01-08,2568662,356110,28538,5138
2021-01-09,2621298,358947,29233,5190
2021-01-10,2670983,361147,29701,5208
2021-01-11,2710822,362824,29965,5213
2021-01-12,2747309,364335,30512,5242
2021-01-13,2781059,366770,31094,5283
2021-01-14,2816987,369175,31633,5310
2021-01-15,2859629,371457,32278,5332
2021-01-16,2899108,373480,32960,5357
2021-01-17,2942495,374981,33392,5367
2021-01-18,2973194,376171,33593,5371
2021-01-19,2996989,377853,33739,5379
2021-01-20,3019390,379222,34433,5413
2021-01-21,3039064,381207,35004,5438
2021-01-22,3061983,383007,35767,5459
2021-01-23,3084706,384954,36360,5480
2021-01-24,3109169,386282,36789,5500
2021-01-25,3136177,387455,37117,5502
2021-01-26,3153205,388618,37527,5513
2021-01-27,3169934,390257,38224,5549
2021-01-28,3186629,391696,38961,5568
2021-01-29,3205967,393417,39578,5590
2021-01-30,3224395,395016,40216,5616
2021-01-31,3243369,396179,40697,5637
2021-02-01,3258706,397063,40908,5641
2021-02-02,3270770,397998,41330,5650
2021-02-03,3281271,399267,41811,5664
2021-02-04,3294447,399267,42466,5664
2021-02-05,3308468,402714,43024,5704
2021-02-06,3320862,404256,43647,5722
2021-02-07,3335926,405290,43942,5732
2021-02-08,3346340,406282,44150,5735
2021-02-09,3354591,407217,44477,5748
2021-02-10,3363000,407974,44995,5772
2021-02-11,3371563,409697,45456,5788
2021-02-12,3381616,411784,46002,5797
2021-02-13,3391037,412995,46435,5819
2021-02-14,3399878,413851,46843,5829
2021-02-15,3406365,414384,47043,5830
2021-02-16,3412059,415050,47107,5832
2021-02-17,3416151,416184,47507,5846
2021-02-18,3421720,417420,47924,5869
2021-02-19,3428548,418699,48344,5882
2021-02-20,3435223,419818,48825,5894
2021-02-21,3441964,420622,49105,5899
2021-02-22,3446628,421302,49338,5900
2021-02-23,3450075,422400,49565,5915
2021-02-24,3455375,423562,49880,5923
2021-02-25,3460338,424683,50991,5932
2021-02-26,3465734,426202,51382,5947
2021-02-27,3470880,427467,51821,5956
2021-02-28,3475564,428312,51979,5960
2021-03-01,3509158,429842,52129,5961
2021-03-02,3512368,430619,52429,5967
2021-03-03,3515499,431674,52823,5976
2021-03-04,3518362,433025,53194,5980
2021-03-05,3521268,434657,53464,5991
2021-03-06,3523381,435764,53722,5996
2021-03-07,3525251,436614,53828,5999
2021-03-08,3528464,437198,53878,5999
2021-03-09,3531204,438038,54320,6008
2021-03-10,3533904,439278,54590,6016
2021-03-11,3536431,440222,54878,6035
2021-03-12,3538799,441512,55095,6041
2021-03-13,3540578,442756,55235,6049
2021-03-14,3542026,443971,55330,6050
2021-03-15,3544665,444393,55372,6052
2021-03-16,3546902,444719,55577,6060
2021-03-17,3549066,445345,55795,6063
2021-03-18,3550931,446606,56027,6072
2021-03-19,3552725,448384,56072,6076
2021-03-20,3553989,448384,56118,6076
2021-03-21,3555092,450635,56545,6086
2021-03-22,3557289,450940,56596,6088
2021-03-23,3559373,452310,56850,6090
2021-03-24,3561678,453524,57091,6094
2021-03-25,3563340,454898,57336,6096
2021-03-26,3564383,456305,57551,6100
2021-03-27,3564476,457600,57746,6103
2021-03-28,3564476,458559,57778,6104
2021-03-29,3564476,459365,57778,6104
2021-03-30,3564476,460323,57778,6107
2021-03-31,3564476,462085,57778,6116
2021-04-01,3570718,463690,58094,6126
2021-04-02,3573028,465336,58271,6128
2021-04-03,3577951,466906,58429,6133
