Date,ND confirmed,NE confirmed,ND deaths,NE deaths
2020-04-03,173,284,3,6
2020-04-04,186,318,3,6
2020-04-05,207,354,3,6
2020-04-06,225,401,3,6
2020-04-07,237,477,4,6
2020-04-08,251,522,4,14
2020-04-09,269,576,5,14
2020-04-10,278,646,7,14
2020-04-11,293,703,7,14
2020-04-12,308,757,8,14
2020-04-13,331,832,9,14
2020-04-14,341,873,9,14
2020-04-15,365,915,9,14
2020-04-16,393,960,9,14
2020-04-17,393,1003,9,14
2020-04-18,393,1163,9,14
2020-04-19,393,1200,10,14
2020-04-20,627,1293,13,14
2020-04-21,643,1436,13,14
2020-04-22,679,1676,14,14
2020-04-23,709,1895,15,14
2020-04-24,748,2110,15,14
2020-04-25,803,2394,16,14
2020-04-26,867,2517,17,14
2020-04-27,941,2880,19,14
2020-04-28,990,3280,19,14
2020-04-29,1033,3760,19,70
2020-04-30,1067,4232,19,72
2020-05-01,1107,4781,23,75
2020-05-02,1153,5260,24,78
2020-05-03,1191,5597,25,79
2020-05-04,1225,5988,25,79
2020-05-05,1266,6335,25,82
2020-05-06,1322,6667,31,86
2020-05-07,1370,7067,31,91
2020-05-08,1424,7695,33,92
2020-05-09,1463,8091,34,96
2020-05-10,1489,8171,35,99
2020-05-11,1515,8390,36,101
2020-05-12,1570,8531,38,103
2020-05-13,1645,8908,40,107
2020-05-14,1712,9241,40,113
2020-05-15,1761,9607,42,118
2020-05-16,1847,10050,42,122
2020-05-17,1897,10171,43,122
2020-05-18,1927,10457,44,124
2020-05-19,1992,10685,45,128
2020-05-20,2078,10947,49,135
2020-05-21,2188,11249,51,141
2020-05-22,2267,11492,52,145
2020-05-23,2315,11791,52,145
2020-05-24,2364,11942,53,148
2020-05-25,2402,12168,54,148
2020-05-26,2420,12423,54,151
2020-05-27,2437,12786,56,160
2020-05-28,2479,13052,57,161
2020-05-29,2518,13438,59,166
2020-05-30,2552,13688,59,166
2020-05-31,2575,13880,59,167
2020-06-01,2624,14131,61,176
2020-06-02,2646,14402,65,179
2020-06-03,2679,14671,66,184
2020-06-04,2706,14923,66,185
2020-06-05,2745,15186,71,186
2020-06-06,2816,15351,72,187
2020-06-07,2861,15443,72,187
2020-06-08,2879,15565,72,188
2020-06-09,2901,15698,72,191
2020-06-10,2941,15839,73,195
2020-06-11,2980,16130,74,212
2020-06-12,3016,16334,74,216
2020-06-13,3058,16454,74,216
2020-06-14,3080,16544,74,216
2020-06-15,3101,16674,74,220
2020-06-16,3124,16861,74,231
2020-06-17,3192,17052,74,234
2020-06-18,3192,17235,75,239
2020-06-19,3225,17410,76,244
2020-06-20,3251,17519,76,244
2020-06-21,3288,17621,77,244
2020-06-22,3313,17771,77,249
2020-06-23,3319,17910,78,256
2020-06-24,3393,18037,78,257
2020-06-25,3418,18180,78,260
2020-06-26,3458,18356,78,266
2020-06-27,3458,18603,78,267
2020-06-28,3539,18728,79,267
2020-06-29,3539,18869,79,269
2020-06-30,3615,19005,79,274
2020-07-01,3615,19136,80,276
2020-07-02,3657,19288,80,282
2020-07-03,3779,19502,80,284
2020-07-04,3779,19661,80,284
2020-07-05,3816,19763,80,284
2020-07-06,3849,19882,80,283
2020-07-07,3898,20077,84,282
2020-07-08,3971,20304,85,282
2020-07-09,4070,20461,85,282
2020-07-10,4154,20639,85,282
2020-07-11,4243,20886,87,285
2020-07-12,4334,21058,87,285
2020-07-13,4442,21286,87,288
2020-07-14,4565,21603,88,286
2020-07-15,4565,21863,88,290
2020-07-16,4792,22019,89,298
2020-07-17,4907,22249,90,300
2020-07-18,5019,22368,90,300
2020-07-19,5019,22465,92,300
2020-07-20,5126,22724,93,305
2020-07-21,5207,23072,94,309
2020-07-22,5367,23361,96,310
2020-07-23,5614,23690,97,315
2020-07-24,5736,24046,99,317
2020-07-25,5736,24267,99,317
2020-07-26,5876,24488,99,317
2020-07-27,5986,24759,99,318
2020-07-28,6141,25015,100,322
2020-07-29,6227,25275,102,325
2020-07-30,6301,25619,103,329
2020-07-31,6469,26068,103,333
2020-08-01,6602,26068,103,333
2020-08-02,6660,26253,105,333
2020-08-03,6785,26561,105,333
2020-08-04,6933,26803,107,333
2020-08-05,7057,27029,108,333
2020-08-06,7177,27341,109,336
2020-08-07,7327,27676,110,341
2020-08-08,7508,27964,112,346
2020-08-09,7596,28108,112,346
2020-08-10,7713,28298,113,346
2020-08-11,7885,28543,118,349
2020-08-12,7970,28878,120,352
2020-08-13,8171,29076,120,357
2020-08-14,8322,29507,121,361
2020-08-15,8444,29829,121,362
2020-08-16,8587,30088,125,362
2020-08-17,8647,30220,126,362
2020-08-18,8782,30406,128,362
2020-08-19,8968,30664,130,369
2020-08-20,9242,30864,130,372
2020-08-21,9474,31184,132,374
2020-08-22,9736,31612,135,377
2020-08-23,9876,31715,136,379
2020-08-24,10000,31881,137,383
2020-08-25,10229,32200,138,383
2020-08-26,10467,32571,138,385
2020-08-27,10800,32969,139,390
2020-08-28,11110,33313,139,391
2020-08-29,11484,33633,141,392
2020-08-30,11484,33923,142,392
2020-08-31,11816,34157,143,397
2020-09-01,12000,34439,145,400
2020-09-02,12267,34846,148,400
2020-09-03,12629,35315,150,404
2020-09-04,12973,35522,150,404
2020-09-05,13334,35666,155,404
2020-09-06,13631,35743,156,404
2020-09-07,13801,35834,156,404
2020-09-08,13872,36328,156,407
2020-09-09,14110,36770,157,422
2020-09-10,14443,37218,160,428
2020-09-11,14684,37696,164,435
2020-09-12,15151,37965,167,435
2020-09-13,15577,38044,168,435
2020-09-14,15831,38484,170,436
2020-09-15,16064,38812,172,437
2020-09-16,16333,39251,172,440
2020-09-17,16723,39739,182,443
2020-09-18,17230,40197,184,443
2020-09-19,17607,40605,192,443
2020-09-20,17958,40889,192,443
2020-09-21,18244,41167,193,451
2020-09-22,18508,41538,196,460
2020-09-23,18981,42034,203,463
2020-09-24,18981,42467,211,463
2020-09-25,19885,42887,211,469
2020-09-26,20380,43329,211,470
2020-09-27,20724,43792,211,471
2020-09-28,20983,44278,234,473
2020-09-29,21401,44747,239,479
2020-09-30,21846,45276,247,479
2020-10-01,22218,45870,256,494
2020-10-02,22694,46647,264,494
2020-10-03,23134,47070,271,498
2020-10-04,23550,47475,274,500
2020-10-05,23862,47910,277,503
2020-10-06,24364,48401,280,507
2020-10-07,24857,49007,304,507
2020-10-08,25384,49673,310,514
2020-10-09,26039,49673,321,514
2020-10-10,26627,50731,336,519
2020-10-11,27264,51972,339,519
2020-10-12,27736,52437,345,522
2020-10-13,28244,53140,357,527
2020-10-14,28947,54077,365,530
2020-10-15,29653,55032,370,535
2020-10-16,30517,56320,388,547
2020-10-17,31261,56931,399,548
2020-10-18,31978,57666,404,548
2020-10-19,32637,58407,408,554
2020-10-20,33666,59002,412,564
2020-10-21,34165,59900,422,574
2020-10-22,35052,60869,431,583
2020-10-23,35939,62081,440,587
2020-10-24,36874,62778,448,596
2020-10-25,37719,63349,456,597
2020-10-26,38236,64031,461,602
2020-10-27,39129,64909,476,618
2020-10-28,39907,66065,488,625
2020-10-29,41130,67656,499,633
2020-10-30,42483,69111,512,642
2020-10-31,43916,70206,524,645
2020-11-01,43916,71137,531,655
2020-11-02,47186,72090,540,656
2020-11-03,48301,73475,556,659
2020-11-04,49838,75265,568,668
2020-11-05,51616,77348,596,673
2020-11-06,53203,80015,613,700
2020-11-07,53203,81714,628,701
2020-11-08,55455,83275,639,701
2020-11-09,55455,84857,644,708
2020-11-10,57383,87032,674,724
2020-11-11,57373,89232,686,724
2020-11-12,59148,91827,697,755
2020-11-13,62866,94151,707,774
2020-11-14,62866,96048,726,778
2020-11-15,64880,97364,735,778
2020-11-16,65937,100783,742,794
2020-11-17,67228,100783,768,794
2020-11-18,67228,105748,785,824
2020-11-19,70010,108366,795,849
2020-11-20,71540,110739,817,893
2020-11-21,72683,112101,834,900
2020-11-22,73399,113109,840,904
2020-11-23,74399,114960,846,924
2020-11-24,75478,114960,882,924
2020-11-25,75478,116716,887,938
2020-11-26,77232,121947,887,975
2020-11-27,77232,123067,887,977
2020-11-28,78656,124314,915,981
2020-11-29,78656,125434,920,981
2020-11-30,78656,127362,927,1016
2020-12-01,80135,127362,954,1016
2020-12-02,81111,131480,966,1120
2020-12-03,81948,133647,977,1156
2020-12-04,81948,135254,989,1184
2020-12-05,82498,137484,1007,1192
2020-12-06,82974,137484,1013,1192
2020-12-07,83323,140027,1022,1231
2020-12-08,83817,141466,1064,1269
2020-12-09,86146,142780,1064,1285
2020-12-10,86707,144629,1064,1316
2020-12-11,87214,145717,1064,1341
2020-12-12,87590,146531,1064,1363
2020-12-13,87870,147672,1064,1372
2020-12-14,88066,148166,1064,1418
2020-12-15,88391,149689,1064,1437
2020-12-16,88685,149688,1064,1437
2020-12-17,89061,150929,1204,1447
2020-12-18,89556,153559,1204,1468
2020-12-19,89786,154228,1204,1473
2020-12-20,90031,155193,1231,1486
2020-12-21,90116,155915,1233,1510
2020-12-22,90453,157121,1238,1520
2020-12-23,90721,158463,1243,1559
2020-12-24,90948,159151,1260,1565
2020-12-25,91222,159952,1264,1555
2020-12-26,91333,160122,1264,1554
2020-12-27,91443,160753,1266,1554
2020-12-28,91533,161616,1270,1580
2020-12-29,91828,162542,1276,1598
2020-12-30,91828,164044,1276,1606
2020-12-31,91828,165546,1276,1650
2021-01-01,92767,166457,1309,1664
2021-01-02,92889,166998,1310,1665
2021-01-03,93039,167735,1310,1668
2021-01-04,93236,168320,1312,1678
2021-01-05,93494,169768,1329,1693
2021-01-06,93832,171197,1334,1702
2021-01-07,94156,172326,1341,1730
2021-01-08,94438,173329,1352,1732
2021-01-09,94551,174328,1352,1736
2021-01-10,94551,174733,1352,1755
2021-01-11,94551,175379,1352,1767
2021-01-12,94960,176383,1355,1784
2021-01-13,95135,177886,1357,1797
2021-01-14,95377,178801,1365,1811
2021-01-15,95598,179581,1373,1823
2021-01-16,95712,179581,1381,1823
2021-01-17,95860,180668,1384,1831
2021-01-18,95931,180873,1384,1836
2021-01-19,96069,180876,1386,1836
2021-01-20,96222,183134,1387,1861
2021-01-21,96370,183958,1399,1863
2021-01-22,96567,184875,1403,1872
2021-01-23,96720,185453,1411,1873
2021-01-24,96817,185747,1411,1872
2021-01-25,96874,186388,1411,1890
2021-01-26,97006,186738,1415,1900
2021-01-27,97160,187411,1415,1909
2021-01-28,97305,188215,1417,1912
2021-01-29,97458,188215,1419,1912
2021-01-30,97562,189186,1422,1913
2021-01-31,97628,189328,1422,1913
2021-02-01,97681,189564,1422,1912
2021-02-02,97798,190051,1422,1921
2021-02-03,97936,190644,1422,1923
2021-02-04,98034,191148,1422,1944
2021-02-05,98095,191668,1426,1950
2021-02-06,98133,192020,1428,1959
2021-02-07,98178,192323,1428,1959
2021-02-08,98206,192430,1428,1968
2021-02-09,98226,192758,1429,1979
2021-02-10,98282,193239,1431,1987
2021-02-11,98387,193604,1431,1990
2021-02-12,98487,194072,1432,2001
2021-02-13,98487,195305,1432,2002
2021-02-14,98487,195514,1432,2002
2021-02-15,98487,195612,1432,2003
2021-02-16,98795,195731,1432,2004
2021-02-17,98912,196055,1432,2017
2021-02-18,99044,196337,1436,2024
2021-02-19,99044,196728,1436,2041
2021-02-20,99236,197038,1438,2046
2021-02-21,99289,197238,1439,2046
2021-02-22,99323,197331,1439,2046
2021-02-23,99424,197679,1440,2049
2021-02-24,99539,198062,1441,2053
2021-02-25,99630,198452,1442,2060
2021-02-26,99719,198737,1443,2073
2021-02-27,99789,199013,1446,2077
2021-02-28,99818,199177,1446,2077
2021-03-01,99860,199255,1446,2077
2021-03-02,99968,199632,1448,2079
2021-03-03,100081,199908,1449,2086
2021-03-04,100191,200266,1449,2087
2021-03-05,100285,200591,1449,2107
2021-03-06,100367,200928,1450,2108
2021-03-07,100400,201314,1450,2108
2021-03-08,100429,201455,1450,2108
2021-03-09,100526,201650,1450,2110
2021-03-10,100625,201951,1453,2120
2021-03-11,100733,202232,1456,2122
2021-03-12,100853,202497,1457,2124
2021-03-13,100946,202784,1459,2127
2021-03-14,100980,202949,1459,2127
2021-03-15,101005,203063,1459,2127
2021-03-16,101153,203380,1460,2128
2021-03-17,101286,203596,1461,2129
2021-03-18,101405,203872,1461,2130
2021-03-19,101518,204126,1462,2134
2021-03-20,101518,204521,1462,2136
2021-03-21,101518,204658,1462,2136
2021-03-22,101518,204837,1462,2136
2021-03-23,101518,205082,1463,2138
2021-03-24,102004,205288,1466,2164
2021-03-25,102201,205574,1467,2173
2021-03-26,102384,205937,1468,2174
2021-03-27,102543,206468,1468,2174
2021-03-28,102590,206693,1468,2174
2021-03-29,102645,206819,1468,2174
2021-03-30,102890,207169,1468,2176
2021-03-31,103106,207577,1468,2179
2021-04-01,103311,209896,1468,2181
2021-04-02,103471,211239,1468,2186
2021-04-03,103588,211239,1468,2186
