Date,DE confirmed,FL confirmed,DE deaths,FL deaths
2020-04-03,450,10268,14,170
2020-04-04,593,11544,14,195
2020-04-05,673,12350,14,221
2020-04-06,783,13629,15,254
2020-04-07,928,14747,16,296
2020-04-08,1116,15698,19,323
2020-04-09,1209,16826,23,370
2020-04-10,1326,17968,32,419
2020-04-11,1479,18983,33,446
2020-04-12,1638,19858,35,461
2020-04-13,1761,21019,35,461
2020-04-14,1926,21625,43,571
2020-04-15,2014,22520,46,614
2020-04-16,2075,23340,52,668
2020-04-17,2323,24747,61,726
2020-04-18,2538,25491,67,750
2020-04-19,2538,26312,67,774
2020-04-20,2745,27056,72,823
2020-04-21,2931,27868,82,867
2020-04-22,3200,28576,89,927
2020-04-23,3308,29647,92,987
2020-04-24,3442,30533,100,1045
2020-04-25,3576,30836,112,1054
2020-04-26,4034,31527,120,1074
2020-04-27,4162,32136,125,1088
2020-04-28,4575,32844,137,1171
2020-04-29,4655,33192,144,1218
2020-04-30,4734,33690,152,1267
2020-05-01,4918,34725,159,1314
2020-05-02,5038,35460,168,1364
2020-05-03,5208,36078,177,1379
2020-05-04,5288,36892,182,1399
2020-05-05,5371,37429,187,1468
2020-05-06,5778,38001,193,1535
2020-05-07,5939,38828,202,1596
2020-05-08,6111,39196,202,1667
2020-05-09,6280,39998,202,1713
2020-05-10,6447,40593,202,1719
2020-05-11,6555,40979,223,1735
2020-05-12,6741,41884,236,1779
2020-05-13,6952,42388,247,1827
2020-05-14,7214,43209,260,1875
2020-05-15,7366,44134,271,1917
2020-05-16,7537,44810,286,1963
2020-05-17,7670,45585,290,1973
2020-05-18,7870,46436,297,1996
2020-05-19,8037,46940,304,2051
2020-05-20,8194,47470,310,2094
2020-05-21,8386,48671,317,2144
2020-05-22,8529,49447,322,2189
2020-05-23,8690,50127,324,2232
2020-05-24,8809,50866,326,2236
2020-05-25,8965,51745,332,2251
2020-05-26,9066,52254,336,2257
2020-05-27,9096,52633,345,2317
2020-05-28,9171,53285,346,2362
2020-05-29,9236,54496,356,2411
2020-05-30,9422,55421,361,2446
2020-05-31,9498,56161,366,2450
2020-06-01,9605,56828,368,2459
2020-06-02,9685,57447,373,2529
2020-06-03,9712,58762,375,2564
2020-06-04,9746,60182,385,2607
2020-06-05,9773,61487,388,2660
2020-06-06,9845,62758,390,2688
2020-06-07,9942,63934,398,2700
2020-06-08,9972,64901,398,2711
2020-06-09,10020,65998,410,2765
2020-06-10,10056,67370,413,2800
2020-06-11,10065,69069,414,2847
2020-06-12,10173,70970,414,2877
2020-06-13,10229,73549,419,2925
2020-06-14,10264,75566,422,2931
2020-06-15,10340,77325,423,2938
2020-06-16,10401,80108,424,2993
2020-06-17,10444,82716,426,3018
2020-06-18,10499,85926,431,3061
2020-06-19,10611,89748,433,3104
2020-06-20,10679,93797,434,3144
2020-06-21,10775,97270,435,3161
2020-06-22,10820,100206,435,3172
2020-06-23,10847,103485,504,3236
2020-06-24,10886,109014,505,3281
2020-06-25,10961,114017,507,3327
2020-06-26,11017,122953,507,3366
2020-06-27,11091,132545,507,3390
2020-06-28,11222,141075,507,3419
2020-06-29,11376,146341,507,3447
2020-06-30,11510,152434,508,3505
2020-07-01,11510,158997,509,3550
2020-07-02,11731,169106,510,3617
2020-07-03,11923,178594,512,3684
2020-07-04,12100,190052,512,3702
2020-07-05,12128,200111,512,3731
2020-07-06,12293,206447,512,3778
2020-07-07,12414,213794,514,3841
2020-07-08,12462,223783,515,3889
2020-07-09,12531,232718,517,4009
2020-07-10,12652,244151,516,4102
2020-07-11,12743,254511,515,4197
2020-07-12,12804,269811,515,4242
2020-07-13,12879,282435,515,4277
2020-07-14,13050,291629,521,4409
2020-07-15,13050,301810,521,4521
2020-07-16,13114,315548,521,4677
2020-07-17,13429,327241,523,4805
2020-07-18,13429,337569,523,4895
2020-07-19,13519,350047,523,4982
2020-07-20,13624,360394,523,5072
2020-07-21,13746,369834,525,5206
2020-07-22,13792,379720,527,5349
2020-07-23,13924,389868,529,5518
2020-07-24,14202,402312,578,5653
2020-07-25,14175,414511,579,5777
2020-07-26,14290,423855,579,5854
2020-07-27,14406,432747,579,5931
2020-07-28,14602,441977,581,6117
2020-07-29,14689,461379,581,6586
2020-07-30,14689,461379,581,6586
2020-07-31,14848,470386,583,6843
2020-08-01,14877,480028,585,7022
2020-08-02,14949,487132,585,7084
2020-08-03,15055,491884,585,7157
2020-08-04,15137,497330,587,7402
2020-08-05,15296,502739,587,7627
2020-08-06,15365,510389,587,7747
2020-08-07,15445,518075,588,7927
2020-08-08,15502,526577,590,8109
2020-08-09,15575,532806,591,8186
2020-08-10,15634,536961,591,8277
2020-08-11,15699,542792,591,8553
2020-08-12,15849,550901,591,8765
2020-08-13,15967,557137,593,8913
2020-08-14,16340,563285,593,9141
2020-08-15,16396,569637,593,9345
2020-08-16,16451,573416,593,9452
2020-08-17,16536,576094,593,9539
2020-08-18,16593,579932,593,9758
2020-08-19,16643,584047,595,9932
2020-08-20,16718,588602,595,10049
2020-08-21,16770,593286,600,10168
2020-08-22,16828,597597,600,10274
2020-08-23,16895,600571,600,10325
2020-08-24,16942,602829,604,10397
2020-08-25,16962,605502,603,10580
2020-08-26,16986,608722,604,10733
2020-08-27,16976,611991,604,10868
2020-08-28,17083,615806,604,10957
2020-08-29,17349,619003,604,11105
2020-08-30,17343,621586,604,11119
2020-08-31,17429,623471,605,11187
2020-09-01,17535,631040,605,11374
2020-09-02,17549,633442,606,11501
2020-09-03,17653,637013,606,11650
2020-09-04,17752,640211,606,11750
2020-09-05,17892,643867,608,11811
2020-09-06,18043,646431,609,11849
2020-09-07,18249,648269,609,11871
2020-09-08,18308,650092,609,11915
2020-09-09,18308,652148,609,12115
2020-09-10,18466,654731,613,12326
2020-09-11,18559,658381,613,12502
2020-09-12,18726,661571,613,12600
2020-09-13,18849,663994,615,12608
2020-09-14,18937,665730,617,12642
2020-09-15,19137,668846,618,12787
2020-09-16,19234,671201,619,12939
2020-09-17,19318,674456,619,13086
2020-09-18,19366,677660,620,13225
2020-09-19,19449,681233,621,13287
2020-09-20,19566,683754,621,13296
2020-09-21,19667,685439,627,13317
2020-09-22,19761,687909,628,13416
2020-09-23,19830,690499,629,13618
2020-09-24,19947,693040,630,13795
2020-09-25,20085,695887,631,13915
2020-09-26,20156,698682,633,14022
2020-09-27,20260,700564,633,14032
2020-09-28,20389,701302,634,14037
2020-09-29,20531,704568,635,14143
2020-09-30,20613,706516,636,14317
2020-10-01,20787,709143,636,14434
2020-10-02,20937,711804,642,14554
2020-10-03,21125,714591,645,14628
2020-10-04,21243,716459,645,14671
2020-10-05,21363,717874,645,14712
2020-10-06,21466,720125,646,14767
2020-10-07,21550,722707,649,14904
2020-10-08,21682,726013,651,15068
2020-10-09,21827,728921,651,15186
2020-10-10,21998,734491,653,15364
2020-10-11,22130,734491,654,15364
2020-10-12,22289,736024,656,15412
2020-10-13,22394,738749,659,15531
2020-10-14,22465,741632,661,15595
2020-10-15,22560,744988,661,15736
2020-10-16,22724,748437,662,15830
2020-10-17,22942,752481,665,15917
2020-10-18,23093,755020,665,15967
2020-10-19,23325,756727,668,16021
2020-10-20,23325,760389,668,16105
2020-10-21,23375,762533,670,16210
2020-10-22,23526,768091,674,16267
2020-10-23,23694,771780,677,16340
2020-10-24,23844,776251,681,16417
2020-10-25,23961,778636,683,16429
2020-10-26,24168,782012,685,16447
2020-10-27,24260,786311,688,16504
2020-10-28,24398,790426,689,16564
2020-10-29,24553,794624,695,16646
2020-10-30,24757,800216,703,16712
2020-10-31,24946,802545,709,16761
2020-11-01,25126,807412,710,16789
2020-11-02,25319,812063,711,16833
2020-11-03,25426,816700,712,16879
2020-11-04,25533,821123,712,16919
2020-11-05,25753,827379,716,16961
2020-11-06,26035,832625,716,17013
2020-11-07,26283,837077,716,17100
2020-11-08,26596,843895,719,17121
2020-11-09,26908,847814,719,17179
2020-11-10,27112,852174,722,17248
2020-11-11,27353,858012,726,17300
2020-11-12,27546,863619,732,17370
2020-11-13,28016,870552,734,17441
2020-11-14,28396,875096,736,17488
2020-11-15,28803,885201,736,17515
2020-11-16,29208,889864,737,17558
2020-11-17,29552,897322,739,17643
2020-11-18,29775,905248,739,17729
2020-11-19,30167,914333,744,17810
2020-11-20,30816,923418,746,17878
2020-11-21,31322,931827,748,17930
2020-11-22,31848,937712,752,17991
2020-11-23,32251,944744,754,18078
2020-11-24,32695,953300,758,18157
2020-11-25,33004,961676,759,18247
2020-11-26,33589,961676,762,18247
2020-11-27,34166,979020,763,18362
2020-11-28,34660,985297,769,18437
2020-11-29,35252,992660,771,18496
2020-11-30,35680,999319,774,18592
2020-12-01,36345,1008166,778,18669
2020-12-02,36703,1018160,779,18765
2020-12-03,37456,1029030,779,18862
2020-12-04,38416,1039106,781,18982
2020-12-05,39115,1048899,793,19069
2020-12-06,39912,1056891,793,19161
2020-12-07,40711,1064035,793,19257
2020-12-08,41464,1073770,803,19376
2020-12-09,42393,1083361,803,19462
2020-12-10,43036,1094697,806,19591
2020-12-11,43818,1106396,807,19714
2020-12-12,44876,1116973,815,19785
2020-12-13,45460,1125931,816,19866
2020-12-14,46457,1134376,816,19999
2020-12-15,47142,1143794,826,20081
2020-12-16,47929,1155335,833,20195
2020-12-17,48768,1168483,845,20292
2020-12-18,49109,1181483,854,20401
2020-12-19,50136,1193165,858,20473
2020-12-20,50616,1201566,862,20564
2020-12-21,51044,1212581,869,20671
2020-12-22,51642,1223015,871,20748
2020-12-23,52181,1234399,884,20874
2020-12-24,53017,1247546,889,20995
2020-12-25,53658,1247546,891,20995
2020-12-26,54472,1264588,894,21134
2020-12-27,55045,1271979,895,21212
2020-12-28,55488,1280177,898,21308
2020-12-29,56189,1292252,898,21409
2020-12-30,56596,1306123,921,21546
2020-12-31,57456,1323315,926,21673
2021-01-01,58064,1323315,930,21670
2021-01-02,58873,1354833,930,21887
2021-01-03,59484,1365435,930,21976
2021-01-04,60333,1376690,937,22078
2021-01-05,61100,1392123,947,22183
2021-01-06,61729,1409906,947,22317
2021-01-07,62949,1429722,949,22481
2021-01-08,63503,1449252,957,22666
2021-01-09,64475,1464697,969,22804
2021-01-10,65273,1477010,972,22912
2021-01-11,65827,1488586,986,23071
2021-01-12,66446,1503482,991,23227
2021-01-13,67173,1517472,994,23396
2021-01-14,68065,1531192,995,23613
2021-01-15,68727,1548067,1002,23797
2021-01-16,69372,1560186,1016,24004
2021-01-17,70294,1571279,1016,24137
2021-01-18,70910,1579281,1016,24269
2021-01-19,71311,1585786,1021,24435
2021-01-20,71775,1601011,1026,24577
2021-01-21,72523,1613884,1027,24728
2021-01-22,73233,1627603,1027,25081
2021-01-23,73915,1639914,1036,25164
2021-01-24,74575,1649449,1041,25290
2021-01-25,75191,1658169,1049,25444
2021-01-26,75490,1667763,1065,25671
2021-01-27,75832,1676171,1072,25833
2021-01-28,76495,1687594,1075,26035
2021-01-29,76935,1698570,1078,26244
2021-01-30,77551,1713589,1081,26360
2021-01-31,78071,1721377,1090,26479
2021-02-01,78495,1727107,1101,26685
2021-02-02,78696,1737640,1108,26822
2021-02-03,78986,1744619,1130,27019
2021-02-04,79225,1752330,1135,27247
2021-02-05,79548,1763873,1191,27457
2021-02-06,79833,1771360,1202,27603
2021-02-07,80594,1777983,1208,27701
2021-02-08,80931,1783720,1208,27819
2021-02-09,81210,1790746,1221,28051
2021-02-10,81461,1798282,1245,28215
2021-02-11,81875,1806805,1262,28390
2021-02-12,82263,1814423,1269,28570
2021-02-13,82672,1821938,1282,28688
2021-02-14,83003,1827373,1283,28783
2021-02-15,83239,1830988,1283,28936
2021-02-16,83369,1837501,1291,29157
2021-02-17,83581,1844640,1316,29315
2021-02-18,83852,1849744,1326,29477
2021-02-19,84181,1856428,1343,29693
2021-02-20,84531,1863707,1366,29814
2021-02-21,84732,1868772,1367,29906
2021-02-22,84732,1872924,1368,30067
2021-02-23,84732,1878534,1379,30224
2021-02-24,84732,1885661,1402,30354
2021-02-25,84732,1892301,1406,30485
2021-02-26,84732,1898223,1418,30626
2021-02-27,86799,1903682,1422,30740
2021-02-28,86799,1909222,1422,30853
2021-03-01,86799,1910924,1422,31003
2021-03-02,86949,1918101,1426,31142
2021-03-03,87425,1924115,1440,31273
2021-03-04,87643,1930232,1440,31390
2021-03-05,87874,1936207,1453,31523
2021-03-06,88139,1940897,1464,31626
2021-03-07,88354,1944997,1473,31686
2021-03-08,88563,1948310,1475,31768
2021-03-09,88679,1952735,1482,31929
2021-03-10,88891,1957588,1492,32015
2021-03-11,89680,1962655,1494,32082
2021-03-12,89911,1967867,1496,32173
2021-03-13,89911,1973119,1496,32254
2021-03-14,89911,1976813,1496,32285
2021-03-15,90614,1979639,1496,32378
2021-03-16,90751,1984432,1514,32474
2021-03-17,91123,1989045,1516,32531
2021-03-18,91425,1994117,1517,32614
2021-03-19,91635,1999257,1522,32668
2021-03-20,91635,2004362,1522,32731
2021-03-21,91635,2008350,1522,32758
2021-03-22,92429,2011213,1531,32793
2021-03-23,92609,2016522,1535,32841
2021-03-24,92819,2021663,1535,32875
2021-03-25,93038,2027448,1536,32976
2021-03-26,93325,2033183,1536,33133
2021-03-27,94062,2039064,1544,33175
2021-03-28,94402,2044006,1552,33213
2021-03-29,94402,2047383,1552,33270
2021-03-30,94573,2052550,1559,33366
2021-03-31,94802,2057825,1559,33450
2021-04-01,95188,2064712,1559,33519
2021-04-02,95590,2071138,1565,33608
2021-04-03,96376,2077088,1566,33672
