,0
636,0.571
637,0.512
638,0.592
639,0.487
640,0.524
641,0.386
642,0.603
643,0.663
644,0.568
645,0.276
646,0.566
647,0.377
648,0.538
649,0.546
650,0.556
651,0.58
652,0.511
653,0.531
654,0.29
655,0.559
656,0.508
657,0.646
658,0.651
659,0.388
660,0.322
661,0.461
662,0.717
663,0.557
664,0.492
665,0.588
666,0.46
667,0.586
668,0.732
669,0.353
670,0.667
671,0.526
672,0.679
673,0.708
674,0.509
675,0.626
676,0.591
677,0.737
678,0.441
679,0.494
680,0.435
681,0.581
682,0.386
683,0.586
684,0.347
685,0.576
686,0.651
687,0.369
688,0.434
689,0.495
690,0.615
691,0.59
692,0.355
693,0.719
694,0.704
695,0.516
696,0.734
697,0.484
698,0.368
699,0.565
700,0.555
701,0.455
702,0.514
703,0.452
704,0.405
705,0.544
706,0.293
707,0.451
708,0.412
709,0.478
710,0.329
711,0.533
712,0.522
713,0.514
714,0.478
715,0.565
716,0.448
717,0.593
718,0.644
719,0.499
720,0.502
721,0.462
722,0.645
723,0.589
724,0.487
725,0.365
726,0.576
727,0.612
728,0.65
729,0.64
730,0.484
731,0.504
732,0.57
733,0.549
734,0.354
735,0.51
736,0.611
737,0.705
738,0.52
739,0.422
740,0.342
741,0.535
742,0.467
743,0.563
744,0.538
745,0.572
746,0.651
747,0.506
748,0.634
749,0.558
750,0.607
751,0.518
752,0.563
753,0.601
754,0.56
755,0.492
756,0.374
757,0.405
758,0.723
759,0.565
760,0.364
761,0.622
762,0.602
763,0.594
764,0.531
765,0.684
766,0.508
767,0.569
768,0.594
769,0.53
770,0.541
771,0.501
772,0.583
773,0.614
774,0.496
775,0.649
776,0.483
777,0.489
778,0.773
779,0.314
780,0.413
781,0.741
782,0.579
783,0.453
784,0.562
785,0.502
786,0.487
787,0.642
788,0.661
789,0.516
790,0.632
791,0.573
792,0.667
793,0.549
794,0.364
795,0.643
796,0.445
797,0.56
798,0.613
799,0.774
800,0.454
801,0.527
802,0.592
803,0.578
804,0.453
805,0.519
806,0.634
807,0.551
808,0.643
809,0.64
810,0.586
811,0.645
812,0.603
813,0.417
814,0.549
815,0.505
816,0.583
817,0.483
818,0.472
819,0.811
820,0.366
821,0.567
822,0.45
823,0.545
824,0.526
825,0.435
826,0.446
827,0.494
828,0.529
829,0.717
830,0.625
831,0.576
832,0.576
833,0.57
834,0.653
835,0.474
836,0.479
837,0.504
838,0.606
839,0.531
840,0.457
841,0.559
842,0.555
843,0.429
844,0.572
845,0.426
846,0.564
847,0.691
848,0.42
849,0.495
850,0.708
851,0.556
852,0.364
853,0.397
854,0.585
855,0.561
856,0.527
857,0.452
858,0.54
859,0.667
860,0.644
861,0.415
862,0.539
863,0.6
864,0.654
865,0.514
866,0.474
867,0.548
868,0.403
869,0.509
870,0.488
871,0.34
872,0.487
873,0.734
874,0.635
875,0.628
876,0.693
877,0.702
878,0.5
879,0.483
880,0.421
881,0.603
882,0.542
883,0.431
884,0.562
885,0.418
886,0.477
887,0.247
888,0.467
889,0.385
890,0.384
891,0.55
892,0.432
893,0.578
894,0.173
895,0.528
896,0.656
897,0.611
898,0.559
899,0.623
900,0.383
901,0.643
902,0.536
903,0.542
904,0.549
905,0.537
906,0.638
907,0.532
908,0.503
909,0.571
910,0.368
911,0.619
912,0.651
913,0.567
914,0.629
915,0.582
916,0.449
917,0.446
918,0.509
919,0.634
920,0.641
921,0.562
922,0.514
923,0.415
924,0.652
925,0.459
926,0.432
927,0.475
928,0.468
929,0.453
930,0.589
931,0.491
932,0.377
933,0.63
934,0.668
935,0.361
936,0.629
937,0.736
938,0.8
939,0.694
940,0.438
941,0.424
942,0.667
943,0.547
944,0.523
945,0.377
946,0.544
947,0.467
948,0.645
949,0.528
950,0.67
951,0.557
952,0.695
953,0.461
954,0.613
955,0.443
956,0.612
957,0.453
958,0.564
959,0.377
960,0.514
961,0.509
962,0.555
963,0.482
964,0.316
965,0.627
966,0.687
967,0.461
968,0.569
969,0.625
970,0.561
971,0.591
972,0.579
973,0.437
974,0.576
975,0.515
976,0.526
977,0.451
978,0.569
979,0.445
980,0.558
981,0.578
982,0.481
983,0.588
984,0.428
985,0.561
986,0.572
987,0.695
988,0.565
989,0.551
990,0.707
991,0.437
992,0.494
993,0.523
994,0.591
995,0.525
996,0.52
997,0.389
998,0.651
999,0.583
